idolId,accounts,onlyAccounts,tweets
1,0,0,0
2,0,0,0
3,0,0,0
4,457,209,1332
5,0,0,0
6,1303,645,5205
7,293,127,849
8,0,0,0
9,282,113,884
10,89,13,100
11,0,0,0
12,0,0,0
13,0,0,0
14,125,28,274
15,0,0,0
16,73,21,163
17,944,459,2686
18,676,333,1919
19,0,0,0
20,759,419,2676
21,87,26,129
22,0,0,0
23,0,0,0
24,327,151,633
25,0,0,0
26,579,323,1431
27,0,0,0
28,0,0,0
29,85,26,180
30,211,51,391
31,146,41,397
32,0,0,0
33,0,0,0
34,1607,845,5084
35,0,0,0
36,284,83,518
37,382,125,1009
38,137,29,317
39,246,59,489
40,170,63,384
41,0,0,0
45,161,51,327
47,105,24,168
48,163,82,356
49,196,80,432
50,0,0,0
51,61,16,148
52,127,38,289
53,103,39,179
54,0,0,0
55,832,345,2988
56,218,80,568
57,545,228,1880
58,442,217,1011
59,0,0,0
60,169,29,374
61,122,36,211
62,591,279,2104
63,0,0,0
64,0,0,0
65,229,78,682
66,0,0,0
67,0,0,0
68,898,467,2714
69,1172,530,4847
70,109,24,151
71,201,42,310
72,227,99,573
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,498,231,959
78,0,0,0
79,783,411,2003
80,0,0,0
81,0,0,0
82,199,68,582
83,288,95,536
84,0,0,0
85,0,0,0
86,232,98,584
87,221,80,583
88,0,0,0
89,0,0,0
90,1707,960,5879
91,1546,730,4684
92,2504,1493,6636
93,238,100,403
94,0,0,0
95,40,9,77
96,1035,528,3080
97,0,0,0
98,0,0,0
99,67,23,147
100,123,52,269
101,0,0,0
102,113,32,243
103,159,26,437
104,628,210,2262
105,0,0,0
110,66,27,132
111,465,241,1719
112,294,89,487
113,243,91,653
114,0,0,0
115,139,21,198
116,312,93,694
117,135,52,370
118,589,261,1522
119,874,419,2738
120,0,0,0
121,0,0,0
122,518,223,1511
123,0,0,0
124,960,512,2986
125,543,228,1682
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,1131,583,3381
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,496,206,1392
137,0,0,0
138,0,0,0
139,271,101,644
140,151,53,324
141,94,22,153
142,258,74,787
143,0,0,0
144,71,13,158
145,89,25,276
146,0,0,0
147,0,0,0
149,0,0,0
150,0,0,0
151,115,45,240
153,0,0,0
154,0,0,0
155,211,59,405
156,403,170,767
157,0,0,0
158,0,0,0
159,0,0,0
160,38,16,104
161,0,0,0
162,1670,915,4594
163,0,0,0
164,0,0,0
165,117,41,241
166,51,15,99
167,473,234,1413
168,0,0,0
169,0,0,0
170,302,136,759
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,105,25,247
176,207,58,511
181,0,0,0
184,0,0,0
185,113,29,234
186,0,0,0
187,180,26,328
188,392,125,976
189,1126,565,3760
190,83,14,161
191,0,0,0
192,0,0,0
193,0,0,0
194,186,39,529
195,161,54,321
196,401,165,1083
197,0,0,0
198,1,0,1
200,779,488,1781
204,0,0,0
205,0,0,0
206,0,0,0
1001,0,0,0
1002,0,0,0
1003,0,0,0
1004,0,0,0
