idolId,accounts,onlyAccounts,tweets
1,0,0,0
2,0,0,0
3,0,0,0
4,299,145,677
5,0,0,0
6,779,509,2447
7,179,94,430
8,0,0,0
9,174,83,446
10,30,5,32
11,0,0,0
12,0,0,0
13,0,0,0
14,80,21,154
15,0,0,0
16,44,13,93
17,589,331,1305
18,429,213,949
19,0,0,0
20,464,304,1276
21,49,18,75
22,0,0,0
23,0,0,0
24,205,99,317
25,0,0,0
26,370,225,783
27,0,0,0
28,0,0,0
29,52,17,86
30,85,38,156
31,85,30,185
32,0,0,0
33,0,0,0
34,995,591,2467
35,0,0,0
36,128,60,239
37,229,87,486
38,89,18,163
39,98,38,183
40,105,43,197
41,0,0,0
45,95,38,154
47,58,18,85
48,98,53,177
49,134,59,234
50,0,0,0
51,37,13,63
52,73,26,145
53,66,33,104
54,0,0,0
55,514,269,1436
56,136,61,273
57,344,166,887
58,278,151,518
59,0,0,0
60,104,20,207
61,72,29,115
62,396,221,1061
63,0,0,0
64,0,0,0
65,159,67,332
66,0,0,0
67,0,0,0
68,559,330,1309
69,715,416,2202
70,60,16,80
71,73,26,116
72,142,70,287
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,280,165,493
78,0,0,0
79,483,264,980
80,0,0,0
81,0,0,0
82,141,54,308
83,122,58,233
84,0,0,0
85,0,0,0
86,145,73,286
87,151,63,312
88,0,0,0
89,0,0,0
90,1082,701,2855
91,914,521,2228
92,1582,1075,3283
93,126,63,191
94,0,0,0
95,25,4,43
96,666,388,1625
97,0,0,0
98,0,0,0
99,51,18,93
100,77,37,145
101,0,0,0
102,69,24,118
103,56,21,173
104,320,156,967
105,0,0,0
110,40,15,67
111,304,176,858
112,127,57,228
113,146,69,318
114,0,0,0
115,44,12,70
116,136,65,269
117,89,35,193
118,352,173,747
119,551,302,1330
120,0,0,0
121,0,0,0
122,351,178,816
123,0,0,0
124,630,374,1503
125,373,177,922
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,638,404,1619
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,280,148,708
137,0,0,0
138,0,0,0
139,176,73,329
140,96,37,174
141,61,17,89
142,161,57,375
143,0,0,0
144,46,11,92
145,54,18,148
146,0,0,0
147,0,0,0
149,0,0,0
150,0,0,0
151,75,33,122
153,0,0,0
154,0,0,0
155,130,49,206
156,237,114,398
157,0,0,0
158,0,0,0
159,0,0,0
160,30,14,55
161,0,0,0
162,995,607,2165
163,0,0,0
164,0,0,0
165,77,27,124
166,33,11,61
167,302,172,688
168,0,0,0
169,0,0,0
170,178,98,386
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,63,20,131
176,105,31,231
181,0,0,0
184,0,0,0
185,56,16,113
186,0,0,0
187,55,21,88
188,184,85,426
189,760,434,1905
190,50,10,91
191,0,0,0
192,0,0,0
193,0,0,0
194,104,26,260
195,102,40,179
196,270,126,573
197,0,0,0
198,0,0,0
200,472,306,882
204,0,0,0
205,0,0,0
206,0,0,0
1001,0,0,0
1002,0,0,0
1003,0,0,0
1004,0,0,0
