idolId,accounts,onlyAccounts,tweets
1,0,0,0
2,0,0,0
3,0,0,0
4,346,164,877
5,0,0,0
6,879,559,3125
7,212,108,552
8,0,0,0
9,195,89,569
10,35,8,37
11,0,0,0
12,0,0,0
13,0,0,0
14,95,25,195
15,0,0,0
16,51,16,112
17,709,381,1750
18,510,250,1252
19,0,0,0
20,528,339,1656
21,56,22,84
22,0,0,0
23,0,0,0
24,234,108,401
25,0,0,0
26,448,269,989
27,0,0,0
28,0,0,0
29,61,18,113
30,96,43,195
31,103,34,245
32,0,0,0
33,0,0,0
34,1162,669,3233
35,0,0,0
36,150,68,297
37,274,98,635
38,97,20,193
39,119,43,256
40,126,49,256
41,0,0,0
45,115,45,203
47,70,21,106
48,107,54,217
49,160,72,301
50,0,0,0
51,44,14,87
52,85,29,187
53,77,35,123
54,0,0,0
55,588,296,1839
56,163,67,356
57,394,183,1149
58,321,170,664
59,0,0,0
60,118,23,254
61,80,31,140
62,452,240,1372
63,0,0,0
64,0,0,0
65,180,66,423
66,0,0,0
67,0,0,0
68,651,372,1717
69,810,455,2901
70,73,18,96
71,86,29,147
72,162,78,363
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,327,185,613
78,0,0,0
79,589,324,1312
80,0,0,0
81,0,0,0
82,164,61,389
83,146,72,301
84,0,0,0
85,0,0,0
86,162,81,354
87,167,67,390
88,0,0,0
89,0,0,0
90,1255,775,3716
91,1057,569,2878
92,1825,1199,4256
93,154,74,253
94,0,0,0
95,31,5,53
96,767,423,2043
97,0,0,0
98,0,0,0
99,53,19,108
100,90,41,187
101,0,0,0
102,89,27,166
103,64,24,220
104,392,174,1354
105,0,0,0
110,48,18,86
111,343,196,1097
112,148,66,266
113,165,73,402
114,0,0,0
115,53,17,87
116,166,76,362
117,100,40,237
118,417,200,970
119,637,321,1685
120,0,0,0
121,0,0,0
122,396,197,1025
123,0,0,0
124,729,423,1951
125,421,195,1147
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,743,457,2067
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,321,167,894
137,0,0,0
138,0,0,0
139,203,81,419
140,115,46,221
141,71,19,105
142,188,64,507
143,0,0,0
144,55,10,112
145,65,21,185
146,0,0,0
147,0,0,0
149,0,0,0
150,0,0,0
151,86,36,156
153,0,0,0
154,0,0,0
155,148,50,249
156,285,133,503
157,0,0,0
158,0,0,0
159,0,0,0
160,33,16,71
161,0,0,0
162,1191,685,2862
163,0,0,0
164,0,0,0
165,93,34,154
166,39,12,77
167,350,191,909
168,0,0,0
169,0,0,0
170,212,106,504
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,74,22,169
176,138,37,322
181,0,0,0
184,0,0,0
185,65,18,142
186,0,0,0
187,62,24,104
188,221,95,555
189,862,479,2464
190,62,11,112
191,0,0,0
192,0,0,0
193,0,0,0
194,127,29,341
195,120,46,225
196,306,141,750
197,0,0,0
198,1,0,1
200,573,366,1173
204,0,0,0
205,0,0,0
206,0,0,0
1001,0,0,0
1002,0,0,0
1003,0,0,0
1004,0,0,0
