idolId,accounts,onlyAccounts,tweets
1,0,0,0
2,0,0,0
3,0,0,0
4,191,113,315
5,0,0,0
6,571,413,1118
7,130,79,206
8,0,0,0
9,108,60,200
10,12,3,13
11,0,0,0
12,0,0,0
13,0,0,0
14,49,17,74
15,0,0,0
16,29,11,40
17,401,262,642
18,305,176,468
19,0,0,0
20,328,239,605
21,29,12,36
22,0,0,0
23,0,0,0
24,128,75,161
25,0,0,0
26,257,181,403
27,0,0,0
28,0,0,0
29,32,11,44
30,54,32,73
31,52,22,81
32,0,0,0
33,0,0,0
34,633,418,1080
35,0,0,0
36,84,47,127
37,144,64,219
38,55,18,78
39,56,27,77
40,64,32,98
41,0,0,0
45,62,30,83
47,28,12,39
48,66,42,86
49,71,42,99
50,0,0,0
51,23,11,31
52,46,21,65
53,42,25,55
54,0,0,0
55,375,234,660
56,81,43,121
57,250,145,427
58,184,115,258
59,0,0,0
60,62,17,92
61,52,27,70
62,274,178,504
63,0,0,0
64,0,0,0
65,115,58,156
66,0,0,0
67,0,0,0
68,380,248,631
69,457,300,883
70,36,13,42
71,47,21,60
72,94,60,138
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,191,127,270
78,0,0,0
79,307,195,456
80,0,0,0
81,0,0,0
82,91,39,143
83,72,47,111
84,0,0,0
85,0,0,0
86,81,44,121
87,98,53,146
88,0,0,0
89,0,0,0
90,723,504,1280
91,606,388,1012
92,1093,808,1631
93,79,48,104
94,0,0,0
95,10,3,16
96,454,305,751
97,0,0,0
98,0,0,0
99,28,12,52
100,47,28,71
101,0,0,0
102,43,18,56
103,38,20,73
104,196,120,344
105,0,0,0
110,20,10,25
111,213,145,391
112,82,47,116
113,95,57,145
114,0,0,0
115,20,7,31
116,99,49,130
117,56,32,96
118,265,144,399
119,361,229,584
120,0,0,0
121,0,0,0
122,244,142,379
123,0,0,0
124,439,281,719
125,264,148,447
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,469,321,737
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,165,98,300
137,0,0,0
138,0,0,0
139,111,56,153
140,56,26,79
141,37,13,47
142,102,47,173
143,0,0,0
144,28,10,45
145,33,16,63
146,0,0,0
147,0,0,0
149,0,0,0
150,0,0,0
151,44,24,58
153,0,0,0
154,0,0,0
155,69,35,97
156,156,96,213
157,0,0,0
158,0,0,0
159,0,0,0
160,19,9,24
161,0,0,0
162,670,448,988
163,0,0,0
164,0,0,0
165,47,20,58
166,16,8,19
167,211,136,330
168,0,0,0
169,0,0,0
170,106,67,179
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,38,15,59
176,66,23,98
181,0,0,0
184,0,0,0
185,38,12,51
186,0,0,0
187,28,15,41
188,126,69,204
189,532,338,910
190,23,5,32
191,0,0,0
192,0,0,0
193,0,0,0
194,72,23,122
195,63,28,89
196,191,107,299
197,0,0,0
198,0,0,0
200,292,207,430
204,0,0,0
205,0,0,0
206,0,0,0
1001,0,0,0
1002,0,0,0
1003,0,0,0
1004,0,0,0
