idolId,accounts,onlyAccounts,tweets
1,0,0,0
2,0,0,0
3,0,0,0
4,387,179,1051
5,0,0,0
6,962,581,3699
7,240,117,655
8,0,0,0
9,229,95,692
10,47,12,52
11,0,0,0
12,0,0,0
13,0,0,0
14,105,25,225
15,0,0,0
16,57,17,127
17,791,407,2084
18,571,280,1480
19,0,0,0
20,598,360,2029
21,78,23,112
22,0,0,0
23,0,0,0
24,270,124,481
25,0,0,0
26,497,290,1169
27,0,0,0
28,0,0,0
29,70,21,137
30,109,46,236
31,113,39,285
32,0,0,0
33,0,0,0
34,1330,732,3962
35,0,0,0
36,166,73,353
37,313,102,768
38,109,24,229
39,131,48,304
40,146,56,307
41,0,0,0
45,136,47,247
47,84,24,128
48,127,64,266
49,173,73,350
50,0,0,0
51,53,14,109
52,99,31,223
53,87,36,143
54,0,0,0
55,667,322,2244
56,181,67,429
57,441,201,1408
58,365,190,774
59,0,0,0
60,134,25,298
61,97,33,164
62,505,257,1667
63,0,0,0
64,0,0,0
65,199,72,523
66,0,0,0
67,0,0,0
68,749,410,2085
69,924,480,3566
70,84,21,111
71,100,33,179
72,182,88,435
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,357,201,701
78,0,0,0
79,661,356,1556
80,0,0,0
81,0,0,0
82,171,65,458
83,160,78,346
84,0,0,0
85,0,0,0
86,182,83,428
87,185,70,456
88,0,0,0
89,0,0,0
90,1419,833,4504
91,1195,617,3451
92,2042,1303,5096
93,185,87,315
94,0,0,0
95,33,6,59
96,863,469,2420
97,0,0,0
98,0,0,0
99,59,21,124
100,103,44,218
101,0,0,0
102,99,30,191
103,71,24,271
104,453,192,1678
105,0,0,0
110,53,21,100
111,393,214,1336
112,170,70,313
113,192,82,495
114,0,0,0
115,57,18,97
116,196,83,451
117,111,45,285
118,462,219,1146
119,716,358,2038
120,0,0,0
121,0,0,0
122,434,205,1210
123,0,0,0
124,814,448,2357
125,460,203,1332
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,814,492,2427
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,355,177,1046
137,0,0,0
138,0,0,0
139,228,89,510
140,127,48,259
141,74,20,121
142,202,68,602
143,0,0,0
144,61,11,131
145,73,22,223
146,0,0,0
147,0,0,0
149,0,0,0
150,0,0,0
151,100,40,191
153,0,0,0
154,0,0,0
155,166,56,300
156,341,154,610
157,0,0,0
158,0,0,0
159,0,0,0
160,34,16,79
161,0,0,0
162,1386,783,3526
163,0,0,0
164,0,0,0
165,102,36,182
166,43,14,86
167,399,210,1105
168,0,0,0
169,0,0,0
170,249,120,597
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,84,23,199
176,156,44,379
181,0,0,0
184,0,0,0
185,84,24,182
186,0,0,0
187,71,25,120
188,239,100,674
189,957,519,2931
190,72,12,135
191,0,0,0
192,0,0,0
193,0,0,0
194,150,34,429
195,133,46,257
196,335,146,870
197,0,0,0
198,1,0,1
200,657,422,1426
204,0,0,0
205,0,0,0
206,0,0,0
1001,0,0,0
1002,0,0,0
1003,0,0,0
1004,0,0,0
