idolId,accounts,onlyAccounts,tweets
1,0,0,0
2,0,0,0
3,0,0,0
4,331,160,827
5,0,0,0
6,866,554,3011
7,210,108,533
8,0,0,0
9,194,90,549
10,34,7,36
11,0,0,0
12,0,0,0
13,0,0,0
14,90,24,186
15,0,0,0
16,49,15,106
17,691,374,1692
18,491,246,1197
19,0,0,0
20,516,331,1593
21,55,21,83
22,0,0,0
23,0,0,0
24,230,106,387
25,0,0,0
26,441,265,963
27,0,0,0
28,0,0,0
29,59,17,107
30,94,42,186
31,102,34,237
32,0,0,0
33,0,0,0
34,1138,662,3115
35,0,0,0
36,150,68,289
37,267,96,610
38,95,20,187
39,118,43,247
40,124,49,248
41,0,0,0
45,113,45,196
47,68,19,104
48,107,56,210
49,156,70,288
50,0,0,0
51,43,14,84
52,84,29,181
53,76,34,122
54,0,0,0
55,576,290,1776
56,159,66,340
57,386,183,1101
58,318,169,643
59,0,0,0
60,116,23,248
61,80,31,137
62,445,240,1324
63,0,0,0
64,0,0,0
65,175,67,406
66,0,0,0
67,0,0,0
68,641,368,1643
69,786,442,2777
70,73,18,94
71,84,28,139
72,159,76,351
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,318,180,592
78,0,0,0
79,566,311,1258
80,0,0,0
81,0,0,0
82,161,60,376
83,145,71,291
84,0,0,0
85,0,0,0
86,162,81,347
87,164,66,378
88,0,0,0
89,0,0,0
90,1220,759,3567
91,1029,560,2754
92,1789,1192,4084
93,150,72,247
94,0,0,0
95,28,4,49
96,754,415,1977
97,0,0,0
98,0,0,0
99,52,18,106
100,88,40,181
101,0,0,0
102,86,26,162
103,60,22,209
104,381,171,1291
105,0,0,0
110,48,18,84
111,339,194,1053
112,145,67,260
113,161,74,390
114,0,0,0
115,51,15,85
116,162,74,345
117,100,40,232
118,409,199,936
119,622,317,1625
120,0,0,0
121,0,0,0
122,387,193,988
123,0,0,0
124,708,413,1855
125,412,189,1104
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,725,449,1997
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,317,166,860
137,0,0,0
138,0,0,0
139,197,79,404
140,111,44,212
141,69,18,102
142,183,62,484
143,0,0,0
144,55,10,111
145,63,20,180
146,0,0,0
147,0,0,0
149,0,0,0
150,0,0,0
151,86,36,153
153,0,0,0
154,0,0,0
155,145,49,239
156,279,134,484
157,0,0,0
158,0,0,0
159,0,0,0
160,33,16,70
161,0,0,0
162,1163,672,2749
163,0,0,0
164,0,0,0
165,91,34,151
166,39,12,77
167,342,188,876
168,0,0,0
169,0,0,0
170,205,104,485
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,73,22,162
176,131,36,306
181,0,0,0
184,0,0,0
185,62,18,136
186,0,0,0
187,60,23,101
188,210,93,526
189,847,474,2375
190,59,10,108
191,0,0,0
192,0,0,0
193,0,0,0
194,119,28,325
195,117,46,216
196,300,139,728
197,0,0,0
198,1,0,1
200,560,358,1127
204,0,0,0
205,0,0,0
206,0,0,0
1001,0,0,0
1002,0,0,0
1003,0,0,0
1004,0,0,0
