datetime, generalTweets, generalAccounts, voiceTweets, voiceAccounts
2021-04-25-22-00-00,57942,18858,49189,15440
2021-04-25-23-00-00,,,,
2021-04-26-00-00-00,59262,18960,50153,15560
2021-04-26-01-00-00,,,,
2021-04-26-02-00-00,60234,19081,50975,15667
2021-04-26-03-00-00,,,,
2021-04-26-04-00-00,60359,19099,51113,15687
2021-04-26-05-00-00,,,,
2021-04-26-06-00-00,60449,19106,51170,15694
2021-04-26-07-00-00,,,,
2021-04-26-08-00-00,60695,19131,51387,15713
2021-04-26-09-00-00,,,,
2021-04-26-10-00-00,,,,
2021-04-26-11-00-00,61268,19197,51949,15765
2021-04-26-12-00-00,61268,19197,51949,15765
2021-04-26-13-00-00,,,,
2021-04-26-14-00-00,61619,19236,52304,15797
2021-04-26-15-00-00,,,,
2021-04-26-16-00-00,61787,19262,52473,15813
2021-04-26-17-00-00,,,,
2021-04-26-18-00-00,61962,19281,52646,15834
2021-04-26-19-00-00,,,,
2021-04-26-20-00-00,62307,19317,52942,15873
2021-04-26-21-00-00,,,,
2021-04-26-22-00-00,63204,19425,53682,15931
2021-04-26-23-00-00,,,,
2021-04-27-00-00-00,64604,19539,54933,16048
2021-04-27-01-00-00,,,,
2021-04-27-02-00-00,65542,19630,55779,16143
2021-04-27-03-00-00,,,,
2021-04-27-04-00-00,65675,19650,55905,16159
2021-04-27-05-00-00,,,,
2021-04-27-06-00-00,65732,19659,55973,16167
2021-04-27-07-00-00,,,,
2021-04-27-08-00-00,65980,19680,56198,16187
2021-04-27-09-00-00,,,,
2021-04-27-10-00-00,,,,
2021-04-27-11-00-00,66625,19745,56863,16242
2021-04-27-12-00-00,66625,19745,56863,16242
2021-04-27-13-00-00,,,,
2021-04-27-14-00-00,66983,19775,57203,16279
2021-04-27-15-00-00,,,,
2021-04-27-16-00-00,67120,19797,57355,16302
2021-04-27-17-00-00,,,,
2021-04-27-18-00-00,67275,19821,57521,16325
2021-04-27-19-00-00,,,,
2021-04-27-20-00-00,67640,19856,57830,16359
2021-04-27-21-00-00,,,,
2021-04-27-22-00-00,68591,19967,58753,16472
2021-04-27-23-00-00,,,,
2021-04-28-00-00-00,69546,20069,59714,16585
2021-04-28-01-00-00,,,,
2021-04-28-02-00-00,70416,20161,60434,16668
2021-04-28-03-00-00,,,,
2021-04-28-04-00-00,70540,20178,60555,16683
2021-04-28-05-00-00,,,,
2021-04-28-06-00-00,70612,20186,60615,16689
2021-04-28-07-00-00,,,,
2021-04-28-08-00-00,70905,20217,60877,16719
2021-04-28-09-00-00,,,,
2021-04-28-10-00-00,,,,
2021-04-28-11-00-00,71434,20291,61344,16785
2021-04-28-12-00-00,71434,20291,61344,16785
2021-04-28-13-00-00,,,,
2021-04-28-14-00-00,71782,20335,61679,16822
2021-04-28-15-00-00,,,,
2021-04-28-16-00-00,71959,20373,61820,16848
2021-04-28-17-00-00,,,,
2021-04-28-18-00-00,72108,20398,61963,16874
2021-04-28-19-00-00,,,,
2021-04-28-20-00-00,72342,20423,62176,16898
2021-04-28-21-00-00,,,,
2021-04-28-22-00-00,73026,20492,62881,16955
2021-04-28-23-00-00,,,,
2021-04-29-00-00-00,74053,20591,63739,17035
2021-04-29-01-00-00,,,,
2021-04-29-02-00-00,74858,20705,64397,17119
2021-04-29-03-00-00,,,,
2021-04-29-04-00-00,74997,20746,64497,17145
2021-04-29-05-00-00,,,,
2021-04-29-06-00-00,75080,20762,64547,17155
2021-04-29-07-00-00,,,,
2021-04-29-08-00-00,75243,20785,64680,17171
2021-04-29-09-00-00,,,,
2021-04-29-10-00-00,75638,20842,65045,17228
2021-04-29-11-00-00,,,,
2021-04-29-12-00-00,75886,20896,65296,17272
2021-04-29-13-00-00,,,,
2021-04-29-14-00-00,76205,20946,65621,17322
2021-04-29-15-00-00,,,,
2021-04-29-16-00-00,76525,21008,65903,17380
2021-04-29-17-00-00,,,,
2021-04-29-18-00-00,77026,21121,66353,17467
2021-04-29-19-00-00,,,,
2021-04-29-20-00-00,77415,21191,66701,17539
2021-04-29-21-00-00,,,,
2021-04-29-22-00-00,78280,21290,67494,17633
2021-04-29-23-00-00,,,,
2021-04-30-00-00-00,79428,21414,68381,17714
2021-04-30-01-00-00,,,,
2021-04-30-02-00-00,80478,21562,69242,17860
2021-04-30-03-00-00,,,,
2021-04-30-04-00-00,80661,21599,69379,17886
2021-04-30-05-00-00,,,,
2021-04-30-06-00-00,80736,21615,69437,17900
2021-04-30-07-00-00,,,,
2021-04-30-08-00-00,80960,21641,69641,17926
2021-04-30-09-00-00,,,,
2021-04-30-10-00-00,81395,21692,70014,17969
2021-04-30-11-00-00,,,,
2021-04-30-12-00-00,81607,21737,70221,18010
2021-04-30-13-00-00,,,,
2021-04-30-14-00-00,81906,21772,70476,18042
2021-04-30-15-00-00,,,,
2021-04-30-16-00-00,82101,21811,70652,18067
2021-04-30-17-00-00,,,,
2021-04-30-18-00-00,82338,21849,70881,18096
2021-04-30-19-00-00,,,,
2021-04-30-20-00-00,82634,21890,71124,18127
2021-04-30-21-00-00,,,,
2021-04-30-22-00-00,83264,21969,71609,18176
2021-04-30-23-00-00,,,,
2021-05-01-00-00-00,84098,22048,72300,18239
2021-05-01-01-00-00,,,,
2021-05-01-02-00-00,85135,22179,73137,18349
2021-05-01-03-00-00,,,,
2021-05-01-04-00-00,85358,22214,73281,18379
2021-05-01-05-00-00,,,,
2021-05-01-06-00-00,85471,22225,73362,18390
2021-05-01-07-00-00,,,,
2021-05-01-08-00-00,85669,22252,73527,18407
2021-05-01-09-00-00,,,,
2021-05-01-10-00-00,86108,22310,73928,18453
2021-05-01-11-00-00,,,,
2021-05-01-12-00-00,86417,22346,74234,18482
2021-05-01-13-00-00,,,,
2021-05-01-14-00-00,86800,22380,74527,18518
2021-05-01-15-00-00,,,,
2021-05-01-16-00-00,87136,22431,74865,18564
2021-05-01-17-00-00,,,,
2021-05-01-18-00-00,87550,22484,75202,18606
2021-05-01-19-00-00,,,,
2021-05-01-20-00-00,87905,22527,75535,18656
2021-05-01-21-00-00,,,,
2021-05-01-22-00-00,88845,22602,76217,18713
2021-05-01-23-00-00,,,,
2021-05-02-00-00-00,89772,22695,76941,18785
2021-05-02-01-00-00,,,,
2021-05-02-02-00-00,90720,22823,77827,18903
2021-05-02-03-00-00,,,,
2021-05-02-04-00-00,90913,22853,78016,18932
2021-05-02-05-00-00,,,,
2021-05-02-06-00-00,90978,22867,78067,18943
2021-05-02-07-00-00,,,,
2021-05-02-08-00-00,91152,22888,78259,18958
2021-05-02-09-00-00,,,,
2021-05-02-10-00-00,,,,
2021-05-02-11-00-00,91871,22965,79008,19054
2021-05-02-12-00-00,91871,22965,79008,19054
2021-05-02-13-00-00,,,,
2021-05-02-14-00-00,92209,23008,79291,19082
2021-05-02-15-00-00,,,,
2021-05-02-16-00-00,92569,23048,79591,19120
2021-05-02-17-00-00,,,,
2021-05-02-18-00-00,92975,23109,79987,19172
2021-05-02-19-00-00,,,,
2021-05-02-20-00-00,93326,23149,80293,19217
2021-05-02-21-00-00,,,,
2021-05-02-22-00-00,94082,23216,80924,19272
2021-05-02-23-00-00,,,,
2021-05-03-00-00-00,94757,23271,81575,19323
2021-05-03-01-00-00,,,,
2021-05-03-02-00-00,95613,23374,82385,19443
2021-05-03-03-00-00,,,,
2021-05-03-04-00-00,95795,23415,82535,19474
2021-05-03-05-00-00,,,,
2021-05-03-06-00-00,95866,23432,82602,19487
2021-05-03-07-00-00,,,,
2021-05-03-08-00-00,96062,23456,82762,19505
2021-05-03-09-00-00,,,,
2021-05-03-10-00-00,96437,23490,83113,19542
2021-05-03-11-00-00,,,,
2021-05-03-12-00-00,96725,23525,83370,19574
2021-05-03-13-00-00,,,,
2021-05-03-14-00-00,96962,23554,83592,19595
2021-05-03-15-00-00,,,,
2021-05-03-16-00-00,97320,23592,83909,19628
2021-05-03-17-00-00,,,,
2021-05-03-18-00-00,97743,23634,84291,19680
2021-05-03-19-00-00,,,,
2021-05-03-20-00-00,98164,23679,84614,19722
2021-05-03-21-00-00,,,,
2021-05-03-22-00-00,99083,23758,85253,19788
2021-05-03-23-00-00,,,,
2021-05-04-00-00-00,99957,23835,85983,19856
2021-05-04-01-00-00,,,,
2021-05-04-02-00-00,100840,23946,86708,19960
2021-05-04-03-00-00,,,,
2021-05-04-04-00-00,101013,23977,86845,19996
2021-05-04-05-00-00,,,,
2021-05-04-06-00-00,101119,23991,86922,20007
2021-05-04-07-00-00,,,,
2021-05-04-08-00-00,101325,24007,87087,20027
2021-05-04-09-00-00,,,,
2021-05-04-10-00-00,101764,24055,87460,20066
