idolId,accounts,onlyAccounts,tweets
1,309,157,670
2,220,106,508
3,259,142,655
4,57,33,117
5,205,118,594
6,80,36,143
7,33,17,99
8,315,198,864
9,59,31,135
10,13,5,13
11,376,221,1024
12,554,365,1511
13,246,135,664
14,21,6,65
15,278,162,499
16,13,3,22
17,98,53,166
18,55,20,96
19,186,91,466
20,97,57,210
21,15,5,22
22,108,49,308
23,94,40,158
24,35,13,57
25,271,130,648
26,79,42,150
27,890,656,1985
28,416,278,815
29,19,7,34
30,29,10,54
31,29,10,57
32,396,265,803
33,200,113,453
34,92,54,176
35,386,280,658
36,31,17,63
37,29,11,88
38,27,6,34
39,16,6,23
40,22,9,47
41,150,69,389
45,9,3,16
47,13,4,18
48,42,21,85
49,24,8,31
50,540,393,1303
51,15,7,27
52,22,9,49
53,14,6,23
54,222,110,534
55,81,46,192
56,23,8,33
57,24,4,42
58,55,29,85
59,680,471,1685
60,20,5,29
61,19,6,21
62,45,20,116
63,256,119,581
64,168,92,401
65,28,6,49
66,220,115,450
67,271,143,677
68,93,60,167
69,67,27,136
70,10,2,11
71,21,10,30
72,28,12,64
73,188,104,413
74,762,527,1933
75,187,110,533
76,165,84,418
77,67,40,118
78,331,199,712
79,67,32,128
80,142,60,298
81,203,116,445
82,37,13,67
83,36,23,83
84,428,222,1248
85,374,238,790
86,29,14,41
87,40,13,94
88,367,196,809
89,758,519,2015
90,106,61,228
91,82,39,185
92,143,92,259
93,21,8,25
94,111,45,227
95,9,1,24
96,72,45,154
97,463,294,1086
98,313,182,641
99,19,4,32
100,22,10,45
101,384,212,967
102,13,1,23
103,19,5,56
104,55,26,109
105,259,157,674
110,11,5,21
111,76,49,173
112,33,11,43
113,33,13,69
114,328,229,572
115,18,6,34
116,26,10,32
117,17,7,19
118,67,28,111
119,51,26,88
120,213,107,404
121,108,60,226
122,54,29,98
123,584,398,1486
124,66,33,168
125,61,27,161
126,441,270,945
127,306,194,704
128,98,37,176
129,151,80,278
130,83,46,178
131,430,263,798
132,225,101,584
133,215,107,548
134,248,112,750
135,578,349,1692
136,65,34,199
137,192,113,526
138,186,101,396
139,32,17,54
140,28,14,36
141,11,2,19
142,34,8,69
143,157,91,329
144,17,4,23
145,15,5,35
146,282,157,539
147,125,61,240
149,160,87,359
150,44,21,117
151,31,9,52
153,144,104,425
154,96,35,205
155,19,7,36
156,43,14,59
157,391,255,816
158,76,36,148
159,237,129,493
160,10,7,24
161,171,92,405
162,66,37,116
163,338,162,644
164,238,129,582
165,19,7,41
166,8,3,14
167,44,24,96
168,433,265,1285
169,122,70,242
170,38,23,82
171,165,80,451
172,349,253,698
173,287,146,856
174,134,80,427
175,20,8,31
176,21,5,53
181,143,79,285
184,192,109,328
185,20,4,29
186,157,74,405
187,21,11,29
188,23,9,46
189,69,29,135
190,14,1,20
191,28,8,49
192,78,42,131
193,107,54,197
194,27,12,61
195,26,8,59
196,43,14,65
197,148,72,394
198,608,413,1131
200,51,24,98
204,297,147,671
205,216,102,369
206,470,288,1109
1001,306,94,804
1002,250,87,696
1003,381,127,715
1004,289,113,436
