idolId,accounts,onlyAccounts,tweets
1,409,184,1015
2,292,129,744
3,340,175,1003
4,72,38,170
5,290,146,988
6,104,38,209
7,54,18,148
8,413,226,1326
9,71,33,181
10,21,6,21
11,522,278,1719
12,718,457,2330
13,415,203,1203
14,36,8,99
15,347,191,722
16,19,3,34
17,118,56,233
18,69,26,137
19,234,112,695
20,119,66,309
21,22,4,31
22,156,60,528
23,130,55,235
24,50,14,93
25,342,153,985
26,105,52,203
27,1164,796,3039
28,564,323,1266
29,27,8,51
30,39,11,78
31,41,12,92
32,483,306,1178
33,261,141,696
34,130,68,267
35,513,361,1000
36,40,17,104
37,37,11,134
38,36,6,46
39,24,5,36
40,31,8,64
41,192,85,579
45,22,5,34
47,21,4,26
48,56,23,130
49,35,10,49
50,660,461,1775
51,25,7,55
52,34,12,83
53,23,6,36
54,273,119,768
55,113,54,315
56,32,9,51
57,35,4,72
58,74,35,118
59,842,563,2521
60,27,6,37
61,26,6,31
62,56,24,168
63,305,129,833
64,224,112,599
65,38,7,76
66,283,139,665
67,375,173,1130
68,119,74,237
69,82,31,208
70,17,3,18
71,31,15,43
72,42,14,102
73,227,109,655
74,995,664,2984
75,225,126,784
76,202,96,615
77,86,49,172
78,409,223,961
79,90,38,202
80,187,70,486
81,247,130,639
82,46,16,100
83,47,26,122
84,498,250,1843
85,470,285,1108
86,36,14,61
87,48,12,135
88,471,237,1234
89,958,610,3139
90,135,69,345
91,108,50,270
92,192,117,385
93,34,10,40
94,143,49,343
95,14,1,32
96,93,53,228
97,604,362,1628
98,397,230,909
99,27,5,46
100,26,11,65
101,462,238,1337
102,20,1,39
103,22,6,94
104,73,28,176
105,317,174,989
110,16,5,28
111,93,53,242
112,41,13,55
113,41,15,96
114,408,281,788
115,27,7,51
116,36,13,45
117,19,7,29
118,90,32,179
119,77,29,153
120,277,133,598
121,128,68,302
122,66,30,130
123,736,457,2247
124,86,39,250
125,76,33,223
126,587,340,1430
127,401,233,1106
128,132,43,276
129,199,95,404
130,110,55,251
131,513,300,1104
132,315,110,927
133,287,130,866
134,330,133,1196
135,712,396,2540
136,75,39,275
137,251,138,831
138,232,113,562
139,42,19,75
140,35,16,52
141,15,3,26
142,44,9,105
143,210,109,525
144,21,5,28
145,21,5,54
146,364,186,804
147,159,67,342
149,189,95,475
150,73,24,197
151,40,13,87
153,181,124,656
154,118,41,293
155,27,9,51
156,54,18,82
157,501,302,1186
158,117,44,246
159,317,163,776
160,12,7,36
161,206,106,592
162,95,45,160
163,433,202,947
164,305,150,865
165,30,7,62
166,15,4,29
167,58,28,141
168,604,341,2143
169,160,85,369
170,55,27,129
171,217,91,719
172,438,303,1056
173,365,166,1364
174,169,89,631
175,25,9,51
176,28,5,92
181,200,98,450
184,276,150,501
185,25,4,46
186,203,85,632
187,26,12,37
188,32,8,71
189,94,34,200
190,18,0,25
191,66,16,104
192,97,45,188
193,133,65,267
194,39,14,105
195,37,9,92
196,53,17,109
197,182,82,558
198,775,495,1618
200,71,35,153
204,413,155,1106
205,293,115,568
206,616,345,1613
1001,392,120,1223
1002,321,109,1004
1003,472,159,1095
1004,361,140,593
