idolId,accounts,onlyAccounts,tweets
1,495,212,1336
2,407,140,1089
3,535,166,1724
4,88,41,219
5,413,154,1446
6,129,45,286
7,69,23,205
8,500,257,1894
9,96,44,249
10,41,6,45
11,677,319,2416
12,935,514,3279
13,557,254,1799
14,47,10,130
15,435,228,1033
16,24,3,42
17,143,60,287
18,83,29,177
19,370,155,1156
20,158,83,448
21,30,5,42
22,212,72,768
23,240,62,391
24,65,20,142
25,416,172,1381
26,127,57,274
27,1485,963,4367
28,715,387,1753
29,37,9,70
30,51,13,104
31,85,11,243
32,596,356,1628
33,440,162,1137
34,163,79,387
35,656,439,1374
36,54,18,149
37,67,15,233
38,44,10,59
39,37,6,56
40,39,9,85
41,244,95,782
45,31,5,54
47,35,4,45
48,78,27,194
49,44,12,64
50,839,557,2429
51,37,9,93
52,46,15,121
53,33,7,53
54,345,139,1049
55,148,61,462
56,47,11,81
57,55,8,112
58,99,43,169
59,1119,682,3576
60,36,6,53
61,36,6,41
62,72,26,229
63,400,146,1180
64,319,142,885
65,51,10,106
66,372,168,963
67,487,206,1676
68,149,84,317
69,108,38,304
70,27,3,30
71,45,20,67
72,51,11,146
73,286,123,951
74,1323,772,4191
75,292,144,1167
76,257,118,869
77,112,56,250
78,588,269,1362
79,112,45,282
80,247,80,688
81,326,158,921
82,61,17,149
83,64,34,176
84,593,273,2509
85,579,326,1516
86,50,16,86
87,68,17,191
88,674,283,1869
89,1311,721,4730
90,172,83,492
91,142,59,382
92,233,128,516
93,51,13,59
94,257,60,550
95,22,3,42
96,123,64,318
97,852,465,2434
98,518,274,1249
99,36,5,55
100,34,14,94
101,568,267,1776
102,32,1,57
103,31,6,143
104,102,30,264
105,400,200,1417
110,27,8,41
111,125,62,351
112,59,19,83
113,59,18,137
114,508,328,1062
115,40,8,70
116,60,15,77
117,32,8,48
118,109,37,255
119,104,35,239
120,341,155,781
121,167,76,406
122,89,30,195
123,904,556,3220
124,121,54,346
125,105,34,325
126,718,399,1932
127,484,275,1511
128,167,44,385
129,332,117,645
130,142,69,348
131,703,402,1641
132,489,123,1401
133,362,153,1266
134,463,142,1719
135,986,452,3745
136,92,43,347
137,401,162,1269
138,294,130,754
139,55,22,101
140,47,20,72
141,22,3,33
142,58,13,153
143,259,127,737
144,26,5,36
145,31,7,83
146,518,266,1280
147,203,89,451
149,255,104,663
150,115,28,282
151,49,13,123
153,234,145,942
154,152,51,403
155,36,11,66
156,71,19,122
157,680,343,1692
158,155,55,332
159,422,212,1152
160,14,7,53
161,260,125,828
162,120,50,209
163,556,260,1342
164,416,186,1311
165,40,7,91
166,21,4,37
167,76,33,195
168,776,413,3054
169,196,95,502
170,71,32,180
171,312,106,1107
172,554,362,1482
173,559,198,2072
174,237,111,906
175,36,9,82
176,43,5,147
181,316,113,706
184,362,184,690
185,35,5,71
186,258,91,861
187,42,14,62
188,45,9,106
189,108,37,256
190,29,1,38
191,111,19,158
192,133,54,286
193,172,79,373
194,51,15,141
195,48,11,119
196,65,18,145
197,238,86,797
198,939,560,2200
200,98,45,224
204,602,171,1632
205,409,134,854
206,1003,492,2517
1001,539,141,1704
1002,378,118,1331
1003,659,182,1606
1004,538,176,874
