idolId,accounts,onlyAccounts,tweets
1,433,196,1134
2,309,130,836
3,373,174,1220
4,79,40,189
5,344,147,1172
6,109,39,232
7,58,20,166
8,449,236,1559
9,79,37,205
10,22,6,23
11,563,292,1949
12,761,472,2650
13,454,212,1396
14,40,9,112
15,386,214,838
16,19,3,35
17,131,58,254
18,74,26,155
19,310,148,928
20,132,73,352
21,26,5,37
22,184,68,634
23,139,57,258
24,57,18,112
25,370,160,1142
26,112,53,225
27,1271,855,3565
28,612,348,1445
29,32,9,60
30,41,12,85
31,46,12,105
32,518,320,1351
33,286,153,810
34,139,69,307
35,567,389,1138
36,44,16,118
37,45,15,171
38,38,7,48
39,29,6,43
40,33,8,71
41,215,91,664
45,24,5,39
47,24,4,29
48,66,25,152
49,39,11,54
50,732,497,2047
51,29,8,70
52,40,14,99
53,27,6,42
54,301,128,882
55,121,55,371
56,35,9,57
57,40,5,84
58,85,40,137
59,926,617,2900
60,29,6,43
61,29,6,34
62,60,25,189
63,342,132,967
64,255,122,703
65,42,8,87
66,327,150,790
67,436,186,1363
68,130,78,269
69,95,34,252
70,23,3,25
71,38,18,55
72,47,12,125
73,246,115,768
74,1087,700,3404
75,245,134,918
76,222,101,709
77,95,52,199
78,449,241,1080
79,99,41,235
80,201,72,553
81,280,145,758
82,53,16,117
83,54,30,144
84,536,257,2107
85,506,295,1270
86,43,15,73
87,56,15,158
88,516,252,1425
89,1054,661,3698
90,146,75,398
91,115,50,305
92,208,121,438
93,41,12,47
94,157,54,391
95,16,1,34
96,106,56,264
97,674,403,1883
98,439,249,1035
99,30,5,49
100,29,12,76
101,513,253,1517
102,26,1,48
103,26,6,112
104,84,30,208
105,343,183,1141
110,24,7,36
111,106,54,286
112,47,14,65
113,48,15,109
114,437,296,887
115,32,7,60
116,47,14,59
117,25,7,40
118,99,35,208
119,88,32,181
120,302,144,677
121,144,69,336
122,71,31,146
123,789,489,2596
124,97,43,278
125,84,31,255
126,637,366,1660
127,434,255,1271
128,143,44,316
129,224,105,466
130,122,62,289
131,615,355,1352
132,376,116,1121
133,316,133,1026
134,346,132,1345
135,775,419,2933
136,81,41,304
137,289,144,989
138,253,118,639
139,47,20,86
140,41,18,61
141,17,3,28
142,50,11,129
143,226,114,597
144,22,5,30
145,25,7,65
146,438,225,1027
147,169,70,381
149,203,96,536
150,78,24,216
151,44,13,100
153,209,136,772
154,131,44,336
155,27,8,53
156,57,18,92
157,543,317,1362
158,132,52,278
159,355,172,892
160,13,7,42
161,231,111,688
162,106,49,182
163,489,233,1116
164,344,155,1019
165,33,7,75
166,17,4,32
167,61,30,159
168,666,372,2508
169,172,87,417
170,61,29,146
171,249,96,861
172,484,322,1230
173,425,179,1624
174,198,98,750
175,29,9,64
176,32,5,110
181,209,99,498
184,322,167,596
185,30,5,54
186,219,88,717
187,33,15,46
188,34,9,82
189,98,34,217
190,20,0,28
191,73,17,115
192,109,49,236
193,145,70,303
194,41,14,119
195,39,10,106
196,56,17,118
197,212,82,656
198,848,525,1863
200,82,41,189
204,465,165,1288
205,340,121,685
206,748,418,1980
1001,408,125,1362
1002,350,117,1137
1003,503,165,1249
1004,390,144,655
