idolId,accounts,onlyAccounts,tweets
1,457,207,1227
2,347,140,941
3,488,172,1569
4,82,40,203
5,357,150,1261
6,116,42,253
7,62,21,179
8,476,245,1720
9,91,41,226
10,25,6,26
11,585,302,2099
12,875,490,2954
13,493,223,1547
14,41,9,116
15,416,221,937
16,21,3,38
17,136,59,268
18,77,26,164
19,337,154,1026
20,144,78,390
21,29,5,41
22,194,72,687
23,219,61,349
24,60,19,127
25,391,162,1235
26,116,54,240
27,1378,912,3941
28,653,364,1581
29,34,9,64
30,47,13,97
31,74,12,182
32,559,339,1473
33,396,160,1006
34,150,72,334
35,620,416,1252
36,49,17,133
37,52,16,194
38,41,8,53
39,33,5,47
40,37,9,78
41,226,91,708
45,26,5,44
47,29,3,35
48,72,26,173
49,42,12,57
50,784,521,2229
51,33,8,81
52,43,15,109
53,32,7,50
54,324,135,951
55,128,58,406
56,38,9,64
57,52,8,104
58,90,40,150
59,1051,648,3237
60,33,6,48
61,31,6,36
62,64,25,206
63,364,143,1047
64,282,137,784
65,46,9,94
66,354,164,866
67,456,189,1489
68,136,79,286
69,103,36,275
70,24,3,26
71,42,19,60
72,49,12,133
73,266,118,857
74,1212,722,3768
75,268,137,1029
76,236,109,777
77,103,53,226
78,552,256,1238
79,103,42,253
80,214,74,600
81,300,149,830
82,57,16,130
83,59,31,159
84,562,266,2282
85,545,314,1384
86,46,15,79
87,59,15,170
88,630,270,1666
89,1217,681,4187
90,161,80,441
91,124,54,331
92,222,127,477
93,46,12,54
94,235,53,495
95,19,2,38
96,114,58,287
97,788,422,2132
98,474,261,1138
99,33,5,52
100,33,14,84
101,535,256,1635
102,28,1,52
103,28,6,125
104,88,29,226
105,364,185,1250
110,25,7,38
111,114,59,315
112,57,19,78
113,53,16,122
114,466,308,961
115,37,7,66
116,56,15,72
117,29,8,45
118,107,37,237
119,97,33,212
120,319,147,727
121,155,72,364
122,74,31,159
123,842,527,2886
124,104,46,302
125,93,34,280
126,674,384,1777
127,459,261,1371
128,155,45,346
129,313,110,592
130,136,67,321
131,670,380,1498
132,468,121,1315
133,339,146,1150
134,436,134,1558
135,902,428,3309
136,86,42,323
137,372,148,1130
138,272,124,685
139,51,20,92
140,43,18,64
141,21,3,32
142,52,11,136
143,237,119,656
144,25,5,35
145,28,7,73
146,487,254,1156
147,182,78,406
149,222,99,580
150,92,28,240
151,46,13,111
153,219,139,851
154,144,50,369
155,31,10,59
156,62,19,102
157,634,327,1537
158,142,52,298
159,403,204,1068
160,14,7,49
161,246,119,754
162,115,52,200
163,513,243,1207
164,386,174,1166
165,36,7,84
166,19,4,34
167,69,32,177
168,712,394,2725
169,186,93,460
170,65,31,160
171,286,101,975
172,527,349,1354
173,520,190,1846
174,213,103,807
175,32,9,71
176,39,5,130
181,291,105,616
184,343,174,642
185,32,5,63
186,241,92,786
187,37,14,52
188,39,9,94
189,101,34,233
190,25,1,33
191,86,20,130
192,116,52,253
193,157,76,335
194,46,15,128
195,43,11,112
196,60,17,126
197,224,82,709
198,892,542,2019
200,90,43,201
204,566,167,1474
205,362,125,748
206,930,458,2284
1001,502,131,1534
1002,363,116,1210
1003,620,179,1466
1004,432,159,730
