idolId,accounts,onlyAccounts,tweets
1,527,221,1444
2,435,144,1183
3,576,178,1961
4,95,44,244
5,435,158,1615
6,143,47,317
7,76,24,224
8,545,271,2097
9,103,44,277
10,45,6,50
11,728,338,2659
12,1008,536,3600
13,593,264,1967
14,54,11,144
15,477,239,1162
16,28,3,48
17,151,61,305
18,91,31,198
19,405,164,1292
20,169,86,481
21,34,5,50
22,234,76,837
23,249,65,412
24,69,21,156
25,436,172,1510
26,133,57,304
27,1605,1020,5003
28,745,403,1894
29,40,9,77
30,56,13,115
31,91,12,283
32,640,378,1774
33,485,166,1294
34,172,80,411
35,693,459,1485
36,60,18,175
37,77,18,260
38,48,10,69
39,42,6,62
40,43,9,92
41,265,102,862
45,35,6,60
47,39,4,51
48,85,27,211
49,48,13,72
50,909,582,2669
51,41,9,103
52,50,16,134
53,39,8,61
54,390,153,1189
55,156,63,505
56,51,11,89
57,64,8,135
58,110,45,188
59,1183,709,3878
60,40,6,59
61,40,6,49
62,77,27,253
63,435,157,1314
64,343,144,1001
65,58,10,116
66,421,176,1109
67,533,219,1885
68,159,84,343
69,119,39,349
70,31,3,35
71,50,21,75
72,59,14,160
73,325,143,1081
74,1434,826,4693
75,319,153,1325
76,285,123,985
77,125,65,289
78,629,280,1478
79,120,45,311
80,266,83,758
81,372,166,1061
82,71,18,183
83,71,36,192
84,666,286,2825
85,633,353,1729
86,54,16,93
87,70,17,204
88,739,299,2108
89,1481,805,5541
90,180,86,537
91,153,60,424
92,247,131,563
93,59,13,69
94,272,63,597
95,26,3,48
96,135,66,348
97,933,503,2748
98,552,284,1364
99,39,5,60
100,37,14,103
101,617,283,1938
102,38,1,66
103,36,5,165
104,113,33,287
105,444,213,1592
110,33,9,49
111,135,61,397
112,66,19,98
113,69,20,157
114,549,344,1191
115,46,8,81
116,66,16,85
117,36,8,53
118,117,39,280
119,110,36,264
120,377,158,861
121,180,80,459
122,102,31,242
123,976,577,3583
124,131,53,367
125,113,34,359
126,779,423,2170
127,530,294,1674
128,181,49,431
129,357,120,714
130,152,69,378
131,766,429,1824
132,513,125,1506
133,394,157,1387
134,509,149,1912
135,1069,467,4177
136,97,45,376
137,434,170,1420
138,320,138,828
139,62,22,117
140,49,20,75
141,26,3,38
142,66,15,170
143,276,133,790
144,28,5,40
145,34,8,93
146,557,282,1391
147,226,92,500
149,275,106,744
150,128,30,313
151,52,14,136
153,260,150,1052
154,166,52,440
155,40,12,74
156,78,22,136
157,723,355,1853
158,167,57,366
159,456,220,1259
160,15,7,59
161,288,127,922
162,126,53,225
163,612,273,1504
164,451,191,1448
165,43,7,99
166,22,4,39
167,83,36,217
168,837,428,3390
169,213,101,549
170,73,32,192
171,344,116,1268
172,587,371,1632
173,611,210,2304
174,274,116,1063
175,40,9,102
176,45,4,164
181,332,121,760
184,402,195,772
185,36,5,74
186,287,95,965
187,44,14,72
188,47,9,116
189,112,37,278
190,30,1,41
191,124,18,176
192,150,58,315
193,192,80,418
194,54,15,149
195,50,11,130
196,72,19,158
197,247,85,866
198,1020,585,2429
200,108,46,254
204,658,186,1816
205,447,137,961
206,1064,509,2711
1001,603,154,1943
1002,409,118,1466
1003,712,189,1769
1004,572,188,959
