idolId,accounts,onlyAccounts,tweets
1,301,156,601
2,213,102,457
3,256,146,589
4,52,33,103
5,193,113,513
6,72,31,125
7,32,17,92
8,301,191,770
9,57,30,122
10,12,5,12
11,362,215,905
12,534,357,1337
13,232,129,567
14,21,6,57
15,263,154,445
16,13,3,22
17,91,50,151
18,49,19,82
19,174,88,410
20,84,50,175
21,15,5,22
22,105,48,267
23,89,37,143
24,35,13,55
25,253,124,560
26,77,42,137
27,857,638,1794
28,393,267,719
29,18,7,30
30,29,10,52
31,28,12,50
32,380,258,729
33,188,108,398
34,90,54,159
35,354,259,582
36,28,16,56
37,27,11,71
38,25,6,29
39,12,5,17
40,20,8,42
41,139,64,336
45,9,3,14
47,12,4,16
48,40,21,77
49,23,8,29
50,516,380,1169
51,14,6,23
52,21,8,45
53,14,6,21
54,215,106,480
55,80,46,175
56,22,8,31
57,21,4,33
58,49,27,76
59,636,443,1453
60,19,5,27
61,18,6,20
62,42,20,101
63,246,114,522
64,160,89,362
65,27,6,43
66,202,104,396
67,262,139,596
68,86,57,153
69,58,25,111
70,9,2,10
71,19,9,27
72,26,12,53
73,161,99,333
74,730,508,1727
75,158,102,416
76,143,83,327
77,66,40,112
78,318,191,639
79,61,31,113
80,121,58,236
81,198,113,404
82,35,12,63
83,34,23,74
84,395,209,1074
85,360,230,716
86,27,13,38
87,39,13,83
88,346,185,709
89,715,499,1732
90,102,61,204
91,79,39,164
92,131,86,230
93,19,8,22
94,108,44,205
95,8,1,21
96,68,43,134
97,433,280,941
98,301,172,580
99,18,4,30
100,19,9,36
101,369,211,866
102,10,1,20
103,16,5,48
104,53,26,97
105,247,153,594
110,11,5,20
111,75,49,160
112,31,10,41
113,32,13,66
114,308,216,517
115,13,4,26
116,23,10,28
117,16,7,17
118,64,26,100
119,50,25,78
120,202,106,358
121,104,56,205
122,53,29,93
123,559,379,1295
124,62,32,148
125,61,27,145
126,426,260,853
127,284,178,609
128,93,35,154
129,146,77,254
130,78,44,162
131,416,256,722
132,208,96,514
133,211,106,478
134,243,110,669
135,553,333,1484
136,65,35,178
137,185,109,470
138,179,98,359
139,30,15,48
140,28,14,34
141,10,2,16
142,31,8,60
143,151,88,294
144,15,3,19
145,15,5,31
146,267,151,477
147,118,61,212
149,154,87,317
150,43,21,109
151,26,9,44
153,135,100,366
154,89,33,181
155,18,7,33
156,40,12,54
157,368,243,730
158,69,34,128
159,225,124,439
160,10,7,22
161,165,91,363
162,65,37,111
163,320,158,578
164,232,125,521
165,19,7,38
166,8,3,14
167,42,23,88
168,415,256,1130
169,115,67,212
170,35,20,71
171,154,77,386
172,332,245,609
173,263,137,736
174,128,77,372
175,16,7,26
176,16,5,40
181,136,76,257
184,179,102,295
185,19,4,25
186,145,71,349
187,18,9,25
188,22,8,43
189,64,26,116
190,12,0,18
191,24,5,44
192,75,40,121
193,101,52,175
194,26,11,55
195,26,8,51
196,40,12,58
197,142,69,355
198,549,379,954
200,48,23,85
204,284,140,603
205,202,94,331
206,453,283,983
1001,291,90,706
1002,241,85,610
1003,364,123,653
1004,274,105,404
