idolId,accounts,onlyAccounts,tweets
1,462,205,1243
2,389,140,1008
3,518,165,1636
4,84,41,207
5,397,150,1341
6,123,42,267
7,64,21,183
8,480,246,1756
9,94,42,232
10,39,6,42
11,597,304,2157
12,888,497,3011
13,505,228,1585
14,44,10,121
15,421,222,960
16,22,3,39
17,139,60,276
18,79,27,167
19,343,154,1041
20,150,80,408
21,30,5,42
22,196,72,696
23,222,62,354
24,63,20,133
25,398,165,1261
26,120,54,246
27,1395,922,4006
28,679,367,1633
29,36,9,67
30,49,14,100
31,76,12,189
32,564,342,1494
33,407,161,1035
34,152,72,340
35,628,421,1278
36,52,17,138
37,56,16,200
38,41,8,53
39,36,6,54
40,38,9,81
41,232,92,723
45,26,5,44
47,30,3,39
48,74,26,177
49,42,12,57
50,801,534,2275
51,33,8,84
52,44,15,112
53,32,7,50
54,330,137,968
55,131,58,413
56,43,11,75
57,53,8,105
58,91,41,153
59,1069,656,3290
60,33,6,49
61,34,6,39
62,67,26,213
63,367,144,1064
64,297,141,818
65,48,9,97
66,355,164,882
67,461,191,1520
68,142,82,298
69,105,37,280
70,25,3,27
71,42,19,60
72,49,11,138
73,270,120,872
74,1233,731,3836
75,273,137,1054
76,242,112,799
77,103,52,229
78,563,260,1266
79,105,42,260
80,214,74,607
81,307,149,849
82,58,16,136
83,61,32,165
84,573,266,2318
85,550,316,1408
86,47,15,80
87,62,16,175
88,639,273,1703
89,1243,689,4308
90,165,82,447
91,133,57,349
92,224,127,483
93,48,12,56
94,237,54,503
95,20,2,39
96,116,59,293
97,797,429,2169
98,485,267,1156
99,34,5,53
100,33,14,85
101,542,259,1667
102,28,1,53
103,29,6,131
104,91,30,234
105,369,187,1275
110,25,7,38
111,118,60,326
112,58,19,80
113,53,16,126
114,471,311,972
115,37,7,66
116,58,15,75
117,29,8,45
118,108,37,238
119,101,34,218
120,324,149,741
121,158,72,376
122,75,31,165
123,858,538,2963
124,105,46,307
125,94,34,286
126,681,387,1800
127,464,264,1398
128,157,45,352
129,321,113,604
130,137,68,329
131,677,385,1527
132,472,121,1336
133,347,147,1174
134,442,135,1592
135,928,434,3401
136,87,41,326
137,382,152,1164
138,275,126,693
139,52,20,94
140,44,19,66
141,21,3,32
142,54,11,140
143,246,123,672
144,25,5,35
145,29,7,75
146,492,256,1185
147,186,81,416
149,227,100,593
150,92,28,243
151,48,13,115
153,222,141,864
154,144,50,373
155,32,10,60
156,65,19,107
157,644,331,1561
158,143,53,302
159,406,205,1081
160,14,7,50
161,250,119,768
162,117,52,203
163,521,246,1230
164,389,175,1189
165,37,7,86
166,20,4,35
167,70,32,182
168,727,395,2798
169,188,93,466
170,66,31,163
171,292,103,999
172,531,351,1373
173,525,189,1894
174,219,105,838
175,33,9,75
176,40,5,132
181,292,105,627
184,347,176,649
185,33,5,64
186,248,91,808
187,38,14,54
188,41,9,96
189,101,33,235
190,26,1,35
191,86,20,130
192,125,52,270
193,160,77,342
194,47,15,130
195,45,11,115
196,61,17,136
197,227,82,727
198,897,546,2049
200,93,44,206
204,583,171,1533
205,387,133,794
206,945,465,2319
1001,507,132,1554
1002,366,116,1233
1003,626,181,1492
1004,443,165,751
