idolId,accounts,onlyAccounts,tweets
1,422,189,1072
2,300,129,787
3,364,172,1077
4,74,39,177
5,305,148,1057
6,107,38,222
7,58,20,156
8,430,235,1429
9,77,36,193
10,22,6,22
11,541,282,1820
12,742,464,2481
13,442,209,1307
14,38,8,105
15,367,204,779
16,19,3,34
17,121,57,240
18,70,26,143
19,294,144,857
20,124,69,327
21,24,4,33
22,176,67,589
23,134,56,243
24,54,17,103
25,361,159,1061
26,108,52,213
27,1222,834,3320
28,581,333,1337
29,30,9,57
30,39,11,80
31,44,12,99
32,501,313,1248
33,276,150,745
34,133,68,282
35,545,377,1072
36,42,17,111
37,41,12,150
38,37,6,47
39,26,5,39
40,33,8,71
41,202,88,608
45,23,5,36
47,22,4,27
48,62,24,142
49,38,11,52
50,696,485,1916
51,27,8,61
52,39,14,92
53,25,6,39
54,289,127,826
55,118,54,344
56,32,9,52
57,36,5,77
58,79,36,128
59,885,590,2717
60,27,6,39
61,29,6,34
62,57,24,175
63,317,132,887
64,245,120,654
65,40,8,82
66,296,146,715
67,416,180,1248
68,124,77,255
69,87,33,231
70,21,3,23
71,36,17,52
72,44,14,112
73,240,114,716
74,1044,678,3190
75,237,131,845
76,213,99,650
77,92,50,185
78,426,226,1007
79,93,38,216
80,193,71,519
81,262,137,685
82,52,17,111
83,51,28,132
84,515,255,1966
85,493,294,1197
86,40,15,67
87,51,13,143
88,492,243,1320
89,1010,634,3384
90,141,72,371
91,112,49,288
92,203,120,412
93,40,11,46
94,149,50,370
95,16,1,34
96,98,55,240
97,642,383,1740
98,425,240,973
99,29,5,48
100,29,12,71
101,492,246,1432
102,23,1,44
103,25,6,102
104,78,29,189
105,330,178,1052
110,22,7,34
111,101,54,270
112,43,13,60
113,45,14,102
114,421,286,833
115,30,7,54
116,41,14,51
117,24,7,36
118,95,34,196
119,82,29,169
120,293,141,636
121,137,68,320
122,68,30,139
123,766,472,2419
124,90,41,261
125,79,30,237
126,602,348,1505
127,418,244,1181
128,135,43,297
129,212,102,429
130,112,56,265
131,569,334,1238
132,356,115,1032
133,299,129,948
134,337,133,1257
135,747,408,2727
136,77,39,282
137,262,140,885
138,242,116,597
139,42,19,78
140,37,17,56
141,15,3,26
142,47,11,119
143,216,112,549
144,21,5,29
145,22,5,57
146,383,193,873
147,163,69,363
149,196,96,504
150,75,24,205
151,40,13,93
153,200,135,714
154,122,42,309
155,27,9,51
156,54,18,86
157,518,309,1263
158,123,49,260
159,331,167,826
160,12,7,40
161,218,109,635
162,102,48,172
163,460,218,1023
164,328,152,941
165,32,7,70
166,15,4,30
167,59,29,147
168,633,356,2313
169,168,86,397
170,57,27,138
171,235,92,785
172,463,312,1141
173,382,173,1463
174,182,96,686
175,26,9,56
176,28,5,96
181,204,97,476
184,291,158,532
185,27,5,51
186,207,86,665
187,26,12,38
188,33,9,77
189,96,34,211
190,18,0,26
191,68,16,107
192,102,47,201
193,137,67,284
194,39,14,110
195,38,10,100
196,55,17,114
197,189,82,591
198,810,509,1741
200,77,39,175
204,449,163,1215
205,328,118,647
206,701,396,1827
1001,402,124,1289
1002,337,114,1065
1003,488,161,1178
1004,377,140,628
