idolId,accounts,onlyAccounts,tweets
1,493,211,1318
2,404,139,1071
3,530,166,1702
4,87,41,218
5,408,151,1416
6,128,44,282
7,68,23,200
8,493,254,1858
9,94,42,241
10,41,6,45
11,665,315,2364
12,927,511,3212
13,551,252,1762
14,47,10,129
15,430,226,1013
16,23,3,41
17,142,60,285
18,83,29,176
19,363,152,1135
20,158,83,440
21,30,5,42
22,210,72,751
23,239,62,385
24,65,20,141
25,414,170,1350
26,126,56,266
27,1461,956,4276
28,711,385,1733
29,37,9,70
30,51,13,103
31,81,11,228
32,589,351,1594
33,426,159,1114
34,162,79,381
35,649,436,1349
36,53,17,147
37,67,15,228
38,44,10,59
39,37,6,56
40,39,9,85
41,241,94,771
45,28,5,49
47,34,3,43
48,78,27,191
49,43,12,62
50,825,548,2386
51,37,9,92
52,46,15,120
53,33,7,52
54,342,139,1031
55,146,60,454
56,46,11,80
57,55,8,112
58,97,42,167
59,1108,674,3498
60,36,6,53
61,36,6,41
62,72,26,228
63,395,145,1160
64,318,142,878
65,51,10,104
66,368,167,938
67,479,201,1635
68,146,83,309
69,107,38,296
70,27,3,30
71,44,19,66
72,51,11,145
73,282,123,929
74,1301,756,4098
75,292,144,1141
76,254,117,855
77,111,56,246
78,580,265,1340
79,110,45,275
80,238,78,668
81,321,155,905
82,60,17,146
83,64,34,175
84,588,273,2467
85,571,322,1486
86,50,17,86
87,65,16,187
88,667,282,1832
89,1287,706,4585
90,170,82,477
91,139,58,376
92,232,130,507
93,51,13,59
94,253,57,542
95,22,3,42
96,121,62,310
97,842,456,2395
98,515,273,1231
99,36,5,55
100,34,14,92
101,565,265,1760
102,30,1,55
103,31,6,138
104,101,30,260
105,395,199,1387
110,26,7,40
111,122,62,341
112,59,19,83
113,58,18,136
114,499,322,1035
115,40,8,70
116,60,15,77
117,32,8,48
118,109,37,252
119,102,34,231
120,337,154,771
121,167,76,399
122,88,30,190
123,897,553,3159
124,120,53,338
125,102,34,319
126,710,396,1899
127,479,270,1473
128,166,44,380
129,329,116,635
130,141,69,342
131,699,400,1616
132,486,123,1382
133,359,151,1240
134,458,141,1677
135,973,448,3670
136,91,42,341
137,393,158,1239
138,288,127,737
139,55,22,100
140,47,20,70
141,22,3,33
142,56,12,150
143,253,123,714
144,26,5,36
145,31,7,81
146,514,264,1258
147,200,86,438
149,253,102,652
150,111,28,274
151,49,13,120
153,232,144,920
154,148,50,395
155,36,11,65
156,69,19,118
157,668,339,1660
158,153,53,324
159,417,211,1131
160,14,7,52
161,255,122,802
162,118,50,207
163,553,259,1326
164,410,184,1282
165,40,7,91
166,21,4,36
167,76,33,193
168,761,408,2990
169,193,94,491
170,70,32,176
171,311,106,1078
172,552,362,1452
173,551,196,2037
174,234,111,892
175,36,9,82
176,42,5,143
181,312,111,690
184,356,181,677
185,35,5,70
186,257,91,852
187,42,14,62
188,44,9,104
189,103,34,249
190,28,1,37
191,104,19,149
192,131,53,283
193,168,79,363
194,50,15,139
195,47,11,118
196,63,18,143
197,233,85,780
198,928,557,2154
200,97,45,220
204,598,172,1600
205,405,134,834
206,990,483,2467
1001,532,139,1663
1002,372,115,1307
1003,652,182,1574
1004,519,172,846
