idolId,accounts,onlyAccounts,tweets
1,600,234,1618
2,524,162,1375
3,649,186,2181
4,118,49,290
5,552,189,1868
6,169,47,365
7,94,29,252
8,649,300,2366
9,125,48,315
10,49,5,56
11,875,403,3080
12,1204,612,4122
13,718,298,2218
14,68,11,169
15,589,271,1378
16,34,3,58
17,181,65,358
18,114,30,239
19,475,174,1503
20,203,94,553
21,43,6,62
22,276,80,957
23,282,67,467
24,88,23,188
25,517,195,1715
26,148,59,347
27,1896,1140,5736
28,887,463,2199
29,50,10,91
30,65,16,127
31,105,13,307
32,755,435,2056
33,572,187,1487
34,203,88,472
35,789,497,1700
36,78,23,200
37,97,21,300
38,57,11,81
39,51,7,75
40,55,10,104
41,327,115,1012
45,42,6,71
47,48,4,62
48,95,29,240
49,55,13,82
50,1134,688,3145
51,53,10,125
52,65,19,157
53,49,8,71
54,515,189,1456
55,195,71,599
56,63,13,116
57,77,10,158
58,128,47,218
59,1405,788,4367
60,49,6,71
61,47,6,61
62,97,28,284
63,514,166,1516
64,398,154,1144
65,68,12,134
66,549,211,1332
67,646,249,2151
68,197,93,412
69,150,43,422
70,42,4,49
71,63,25,93
72,75,17,186
73,392,158,1261
74,1749,957,5495
75,401,181,1543
76,353,137,1130
77,157,73,359
78,760,325,1755
79,144,47,376
80,327,94,874
81,458,187,1250
82,90,21,216
83,87,36,227
84,767,302,3125
85,765,392,2000
86,80,17,129
87,88,19,234
88,912,365,2535
89,1772,896,6333
90,219,99,610
91,192,69,484
92,292,142,646
93,76,16,91
94,316,70,690
95,32,3,56
96,162,71,399
97,1092,563,3120
98,664,321,1569
99,47,5,69
100,49,16,120
101,769,328,2330
102,47,1,77
103,42,5,179
104,137,36,335
105,552,243,1849
110,40,9,61
111,165,70,469
112,83,20,128
113,84,22,181
114,645,375,1381
115,57,5,102
116,82,20,106
117,46,8,67
118,141,40,318
119,141,38,321
120,454,166,1019
121,223,84,557
122,134,34,299
123,1148,652,4169
124,168,63,426
125,142,37,426
126,933,468,2495
127,626,325,1882
128,219,54,501
129,403,123,815
130,192,80,446
131,887,453,2085
132,598,136,1702
133,486,166,1580
134,582,163,2148
135,1293,523,4856
136,119,49,419
137,526,189,1639
138,400,162,994
139,75,22,137
140,61,20,92
141,36,3,48
142,78,15,193
143,338,151,922
144,39,5,55
145,50,12,116
146,664,305,1604
147,295,104,620
149,361,135,902
150,151,33,353
151,65,15,159
153,321,159,1186
154,213,57,522
155,51,14,87
156,96,26,166
157,839,394,2125
158,205,65,431
159,538,236,1459
160,18,7,68
161,351,143,1064
162,167,72,278
163,769,317,1791
164,574,226,1721
165,56,8,124
166,28,5,48
167,113,42,279
168,995,479,3822
169,261,108,634
170,86,32,227
171,412,126,1439
172,697,418,1886
173,710,235,2550
174,317,120,1189
175,50,8,120
176,65,5,192
181,383,140,865
184,483,222,921
185,44,5,83
186,366,116,1138
187,59,15,95
188,69,13,152
189,133,41,316
190,39,2,53
191,145,16,207
192,189,60,388
193,244,91,514
194,69,16,176
195,66,12,157
196,95,20,207
197,294,92,1007
198,1214,635,2838
200,130,49,291
204,763,195,2095
205,551,148,1169
206,1222,532,3040
1001,720,170,2249
1002,545,137,1737
1003,865,212,2059
1004,725,210,1185
