idolId,accounts,onlyAccounts,tweets
1,349,172,816
2,239,111,598
3,302,164,867
4,60,34,130
5,227,130,733
6,89,37,173
7,38,17,115
8,341,206,1055
9,62,33,153
10,14,6,14
11,433,239,1298
12,646,432,1947
13,329,177,923
14,26,8,80
15,308,177,600
16,14,3,26
17,109,55,199
18,60,24,112
19,201,100,556
20,105,60,252
21,16,5,23
22,120,57,387
23,109,50,193
24,40,14,73
25,304,144,797
26,91,48,174
27,1025,724,2409
28,492,304,1027
29,20,7,37
30,32,11,61
31,33,9,76
32,431,285,952
33,219,124,554
34,105,61,214
35,435,315,797
36,33,18,78
37,30,11,109
38,28,6,36
39,17,6,28
40,25,8,55
41,163,76,469
45,14,5,23
47,16,4,21
48,47,22,104
49,28,10,40
50,590,421,1511
51,19,7,38
52,27,11,64
53,15,6,24
54,239,115,636
55,93,52,239
56,24,8,38
57,26,4,48
58,59,31,97
59,738,510,2049
60,22,6,31
61,20,6,22
62,51,23,137
63,269,121,683
64,197,101,501
65,29,6,57
66,250,123,543
67,314,160,868
68,101,66,195
69,71,29,165
70,11,2,12
71,24,12,34
72,29,11,74
73,203,105,513
74,855,589,2373
75,201,114,636
76,177,91,492
77,77,44,144
78,363,208,832
79,77,37,170
80,154,63,365
81,217,121,516
82,39,14,79
83,41,26,102
84,452,233,1493
85,407,253,921
86,32,15,50
87,46,14,117
88,414,215,1021
89,842,557,2483
90,117,64,278
91,95,44,224
92,163,103,315
93,28,9,32
94,119,46,271
95,10,1,27
96,80,48,190
97,528,327,1327
98,341,199,753
99,20,4,36
100,23,10,55
101,411,224,1117
102,16,1,31
103,19,5,72
104,65,28,142
105,285,163,808
110,13,4,25
111,83,53,202
112,37,12,49
113,35,14,80
114,363,247,672
115,20,6,42
116,30,12,38
117,18,7,25
118,76,27,136
119,63,29,118
120,236,117,483
121,122,68,271
122,60,30,115
123,650,420,1800
124,75,37,203
125,68,30,190
126,522,319,1198
127,344,210,868
128,109,41,213
129,178,91,343
130,100,52,222
131,466,284,930
132,267,107,742
133,243,117,667
134,284,125,936
135,629,364,2040
136,74,39,241
137,218,126,668
138,207,105,472
139,37,18,65
140,32,16,43
141,13,3,21
142,37,8,85
143,176,99,404
144,18,4,24
145,17,5,43
146,310,173,643
147,136,64,288
149,176,93,413
150,52,23,145
151,36,11,68
153,157,112,530
154,107,36,250
155,22,8,39
156,50,16,70
157,440,279,968
158,103,43,200
159,272,145,611
160,11,7,31
161,187,100,482
162,79,40,137
163,385,189,779
164,263,139,703
165,22,7,49
166,10,3,21
167,50,27,117
168,490,289,1595
169,144,81,301
170,45,24,106
171,190,86,591
172,386,277,853
173,322,155,1073
174,152,85,517
175,22,8,37
176,22,5,68
181,158,86,345
184,233,131,410
185,22,4,36
186,169,80,496
187,23,12,34
188,25,8,55
189,79,30,164
190,17,0,24
191,32,9,60
192,87,43,159
193,120,61,229
194,29,11,77
195,32,8,77
196,50,17,87
197,167,79,477
198,683,450,1346
200,58,27,122
204,353,144,872
205,272,108,482
206,550,313,1363
1001,337,102,977
1002,277,96,828
1003,423,140,884
1004,323,128,508
