idolId,accounts,onlyAccounts,tweets
1,140,81,179
2,114,61,150
3,118,81,159
4,29,23,39
5,117,82,155
6,43,21,50
7,21,17,30
8,164,127,212
9,33,20,45
10,6,3,6
11,224,145,306
12,351,272,485
13,140,93,192
14,10,4,15
15,155,107,186
16,8,3,9
17,63,42,77
18,30,13,38
19,101,59,150
20,53,38,70
21,7,4,8
22,50,33,81
23,52,25,58
24,19,10,23
25,145,86,192
26,47,33,60
27,514,425,626
28,194,147,223
29,10,6,13
30,19,8,22
31,15,8,20
32,221,163,278
33,105,71,125
34,52,33,67
35,181,154,216
36,12,9,17
37,14,6,19
38,9,6,10
39,8,4,8
40,9,5,12
41,81,45,107
45,3,1,4
47,5,4,5
48,24,12,28
49,7,4,10
50,334,278,453
51,8,7,10
52,9,4,11
53,7,4,9
54,136,85,189
55,48,31,67
56,11,5,14
57,9,3,10
58,26,16,31
59,384,292,501
60,5,1,8
61,10,5,10
62,24,15,30
63,162,92,214
64,90,59,112
65,17,6,18
66,114,77,139
67,140,93,179
68,47,34,62
69,30,18,38
70,3,2,3
71,8,5,11
72,11,7,15
73,93,65,110
74,430,336,582
75,105,82,134
76,91,64,125
77,37,26,47
78,181,127,227
79,35,23,45
80,60,40,82
81,109,79,138
82,15,10,18
83,13,12,19
84,238,146,336
85,180,128,233
86,12,6,13
87,18,9,25
88,177,122,216
89,427,335,565
90,55,36,72
91,41,26,56
92,74,52,87
93,13,7,13
94,48,25,60
95,3,1,6
96,38,28,53
97,259,187,347
98,188,125,240
99,9,4,10
100,12,7,15
101,229,149,314
102,2,1,2
103,8,5,11
104,25,15,32
105,153,108,202
110,7,4,11
111,43,32,55
112,15,6,18
113,22,11,36
114,191,146,227
115,6,2,10
116,12,6,13
117,8,6,9
118,38,20,44
119,21,12,24
120,110,64,140
121,55,39,69
122,30,19,39
123,321,248,406
124,28,19,35
125,39,22,55
126,264,178,325
127,158,112,200
128,54,26,60
129,83,51,104
130,50,33,63
131,249,172,294
132,112,58,159
133,119,73,156
134,146,95,211
135,337,228,464
136,37,23,53
137,110,74,149
138,109,76,137
139,13,12,17
140,14,8,14
141,4,2,5
142,16,8,22
143,84,54,102
144,6,2,6
145,8,5,12
146,142,92,167
147,72,42,85
149,94,66,130
150,21,17,29
151,8,6,11
153,75,62,104
154,50,24,68
155,11,6,13
156,21,9,27
157,220,164,272
158,35,25,41
159,123,79,158
160,6,5,7
161,93,61,120
162,41,29,56
163,193,112,238
164,143,86,183
165,8,5,12
166,1,1,1
167,26,16,33
168,202,152,271
169,63,45,71
170,20,15,29
171,79,50,107
172,178,145,220
173,142,96,204
174,77,60,112
175,4,3,4
176,8,5,10
181,81,52,97
184,93,65,109
185,8,3,9
186,70,44,105
187,10,6,12
188,10,3,11
189,37,15,44
190,4,0,4
191,10,5,14
192,45,31,53
193,60,35,75
194,10,5,17
195,14,7,16
196,18,7,18
197,100,66,165
198,304,233,356
200,23,15,31
204,167,101,194
205,110,59,134
206,266,190,314
1001,158,70,207
1002,135,67,178
1003,168,73,204
1004,130,64,147
