idolId,accounts,onlyAccounts,tweets
1,449,204,1199
2,339,138,916
3,483,172,1548
4,82,40,201
5,353,149,1250
6,112,40,243
7,62,21,176
8,470,243,1697
9,89,40,224
10,23,6,24
11,583,302,2071
12,862,485,2908
13,485,220,1512
14,41,9,115
15,409,217,927
16,20,3,37
17,133,58,262
18,76,26,162
19,331,153,1003
20,142,79,384
21,28,5,40
22,193,72,678
23,217,61,343
24,59,18,124
25,386,161,1215
26,115,53,237
27,1351,899,3853
28,647,362,1560
29,34,9,64
30,46,13,96
31,72,12,166
32,551,334,1449
33,390,159,993
34,149,72,330
35,611,410,1229
36,46,16,127
37,50,15,184
38,40,8,51
39,31,5,45
40,36,9,77
41,224,90,701
45,25,5,42
47,28,3,33
48,71,26,171
49,42,12,57
50,771,514,2179
51,33,8,81
52,42,15,108
53,31,7,47
54,315,131,929
55,127,57,398
56,36,9,61
57,52,8,103
58,88,40,145
59,1034,642,3179
60,31,6,46
61,31,6,36
62,63,25,203
63,357,142,1033
64,273,131,760
65,45,8,92
66,347,159,846
67,448,188,1456
68,134,78,278
69,102,35,270
70,24,3,26
71,42,19,60
72,49,12,133
73,264,117,845
74,1197,713,3706
75,262,134,1004
76,231,104,753
77,102,53,221
78,535,249,1212
79,102,41,250
80,211,73,594
81,293,148,812
82,56,16,128
83,58,30,156
84,558,264,2253
85,528,307,1350
86,46,15,79
87,59,15,170
88,622,267,1637
89,1197,672,4114
90,157,80,429
91,120,52,325
92,219,125,470
93,45,13,53
94,232,52,489
95,18,1,37
96,111,57,281
97,778,418,2091
98,464,256,1107
99,32,5,51
100,33,14,82
101,525,254,1601
102,28,1,52
103,27,6,121
104,85,29,219
105,361,183,1237
110,25,7,38
111,112,58,305
112,54,18,75
113,51,15,119
114,457,306,940
115,37,7,66
116,55,15,71
117,26,7,42
118,104,36,228
119,93,33,207
120,312,146,717
121,153,70,360
122,73,31,156
123,827,517,2838
124,101,44,295
125,91,34,278
126,665,382,1746
127,456,260,1353
128,153,45,341
129,309,109,583
130,133,67,314
131,659,374,1474
132,465,120,1302
133,336,144,1132
134,428,132,1546
135,893,427,3257
136,84,42,317
137,369,147,1117
138,266,123,675
139,51,20,92
140,43,18,64
141,21,3,32
142,52,11,135
143,234,117,643
144,25,5,35
145,28,7,71
146,478,251,1129
147,181,78,404
149,219,100,575
150,91,27,235
151,46,13,109
153,216,138,832
154,142,49,365
155,30,10,57
156,62,19,100
157,628,323,1511
158,140,51,294
159,398,200,1049
160,14,7,48
161,243,117,742
162,113,51,193
163,508,239,1193
164,381,171,1152
165,36,7,82
166,19,4,34
167,67,32,174
168,701,390,2681
169,183,93,452
170,64,30,158
171,284,101,963
172,519,345,1326
173,511,187,1816
174,209,101,795
175,32,9,70
176,37,5,123
181,287,103,606
184,338,171,635
185,32,5,60
186,235,90,771
187,36,14,51
188,38,9,91
189,100,34,228
190,22,1,30
191,85,20,129
192,114,51,248
193,154,75,329
194,44,15,126
195,41,11,109
196,58,18,122
197,222,83,699
198,883,539,1988
200,87,42,196
204,560,167,1456
205,357,124,734
206,907,447,2235
1001,495,128,1515
1002,360,116,1198
1003,611,175,1430
1004,421,157,715
