idolId,accounts,onlyAccounts,tweets
1,263,136,497
2,200,97,390
3,232,141,496
4,45,31,86
5,178,110,427
6,69,31,111
7,29,17,75
8,283,183,642
9,51,28,105
10,11,5,11
11,334,201,761
12,503,346,1162
13,218,126,501
14,19,5,47
15,236,146,386
16,10,3,17
17,79,48,131
18,43,17,70
19,155,83,340
20,73,44,145
21,12,4,17
22,84,46,209
23,82,35,126
24,33,14,49
25,234,120,471
26,76,42,130
27,766,588,1446
28,360,250,603
29,16,7,25
30,27,10,45
31,24,11,41
32,339,233,635
33,168,100,325
34,74,47,138
35,317,235,504
36,26,15,49
37,23,10,56
38,20,6,24
39,10,4,13
40,18,7,36
41,127,59,281
45,8,3,11
47,11,4,15
48,36,19,65
49,19,7,25
50,482,363,988
51,12,6,19
52,18,8,35
53,12,6,17
54,191,100,415
55,73,43,155
56,19,6,26
57,19,4,27
58,44,24,67
59,590,410,1230
60,17,4,24
61,16,6,18
62,38,19,85
63,221,103,453
64,148,85,300
65,24,6,37
66,181,99,337
67,233,124,483
68,78,52,132
69,52,24,93
70,8,2,9
71,16,8,24
72,24,12,41
73,140,87,270
74,680,481,1477
75,145,96,347
76,134,81,280
77,64,39,102
78,294,179,553
79,55,29,99
80,109,55,202
81,180,108,338
82,30,10,50
83,29,22,61
84,370,197,921
85,334,220,635
86,24,11,33
87,33,13,70
88,318,179,600
89,646,464,1460
90,91,56,180
91,73,38,142
92,117,79,197
93,18,8,21
94,91,41,162
95,7,1,18
96,58,39,111
97,403,264,808
98,276,162,500
99,15,4,26
100,17,9,31
101,347,200,768
102,8,1,15
103,15,5,40
104,46,25,78
105,228,148,503
110,10,5,18
111,70,47,140
112,27,8,36
113,30,13,56
114,287,204,455
115,12,4,23
116,19,9,24
117,14,7,15
118,60,26,87
119,43,24,64
120,183,103,314
121,89,54,162
122,45,25,75
123,504,348,1042
124,57,31,129
125,58,28,125
126,404,252,740
127,258,163,521
128,86,35,134
129,136,76,221
130,72,43,135
131,380,240,630
132,188,92,438
133,192,99,415
134,221,109,565
135,509,316,1241
136,62,33,148
137,172,103,406
138,160,91,303
139,28,15,44
140,23,11,29
141,8,2,13
142,28,7,51
143,141,83,256
144,13,3,17
145,14,5,28
146,244,142,405
147,109,58,187
149,140,82,275
150,39,22,91
151,23,8,37
153,121,90,302
154,84,32,156
155,17,7,30
156,37,12,51
157,326,225,605
158,62,34,112
159,196,118,358
160,9,6,16
161,154,88,314
162,60,35,100
163,289,152,483
164,210,117,442
165,15,6,31
166,7,3,11
167,35,20,67
168,382,242,955
169,100,61,179
170,32,18,60
171,129,69,316
172,306,228,526
173,235,132,596
174,114,71,312
175,12,5,21
176,14,6,31
181,128,76,225
184,160,94,249
185,15,3,18
186,120,66,275
187,16,9,22
188,20,8,35
189,58,22,99
190,8,0,8
191,22,5,38
192,68,40,104
193,90,50,151
194,22,10,48
195,24,8,44
196,37,12,54
197,136,69,303
198,517,368,853
200,41,22,70
204,256,132,494
205,190,88,294
206,424,272,845
1001,257,85,581
1002,220,80,495
1003,326,114,525
1004,252,98,352
